1|WoosukKwon|629696|37|San Francisco|CA
2|AndreasKaratzas|581759|18|Austin|TX
3|Jokeren|438177|26|Fairfax|VA
4|antiagainst|291886|24|Seattle|WA
5|DEQygrund|270880|28|Portland|OR
6|BillGarman|263322|1|Seattle|WA
7|comaniac|229311|30|San Francisco|CA
8|Fridge003|212663.5|29|San Jose|CA
9|ProExpertProg|210370|25|Cambridge|MA
10|averikitsch|199211|28|Seattle|WA
11|Jeffwan|179608|33|Seattle|WA
12|brian-dellabetta|175804|16|Chicago|IL
13|christian-byrne|154442.5|24|San Francisco|CA
14|CatherineSue|127204|24|Los Angeles|CA
15|adityachoudhari26|126716|21|San Francisco|CA
16|andreibondarev|125090|33|Camden|NJ
17|JadenFiotto-Kaufman|122405|30|Boston|MA
18|ashpreetbedi|108901.5|49|New York City|NY
19|HaiShaw|107649|27|San Francisco|CA
20|KuntaiDu|101069|25|Chicago|IL
21|BruceMacD|94748.5|37|San Francisco|CA
22|ankane|89050.5|60|San Francisco|CA
23|agola11|88550.5|34|San Francisco|CA
24|christian-bromann|87952.5|13|San Francisco|CA
25|ByronHsu|87629|25|San Jose|CA
26|cadedaniel|77585|20|San Francisco|CA
27|cpacker|73257|16|San Francisco|CA
28|DrJKL|67051.5|36|San Jose|CA
29|MatthewBonanni|64841|12|Boston|MA
30|ApostaC|63850|24||
31|andrewnguonly|62621.5|27|San Francisco|CA
32|ElsaiDeribu|61326|42||
33|NolanTrem|58303|20||Wisconsin
34|PlaidCat|56896|20|Columbus|OH
35|YuhanLiu11|55642.5|14|Chicago|IL
36|Flux159|53965|31|San Francisco|CA
37|MagMueller|49878.5|18|San Francisco|CA
38|clareliguori|46850.5|13|Seattle|WA
39|aimurphy|44226|13||
40|chebbyChefNEQ|43362|25|New York City|NY
41|PsychoLlama|42495.5|63|New York City|NY
42|braden-w|41054|25|San Francisco|CA
43|alejandrosuarez|38987|38|Miami|FL
44|arabold|36895|21|Los Angeles|CA
45|SolitaryThinker|36136|18|San Diego|CA
46|cigamit|35850|31||Texas
47|K-Mistele|35080|17|San Francisco|CA
48|brainlid|34475|33||Utah
49|XiaoxuHU|34172|33|Redmond|WA
50|bryates|33962|57|Columbus|OH
51|BBC-Esq|33243|36|Atlanta|GA
52|DwyaneShi|32905|19|Seattle|WA
53|aksh-at|32501.5|40|New York City|NY
54|armcc|32347|63|San Jose|CA
55|Shaoting-Feng|32261|15|San Francisco|CA
56|Palashio|31642.5|8|New York City|NY
57|MichelleGower|30520|60|Urbana|IL
58|arueth|30013|19|Seattle|WA
59|anpicci|29159|32|Chicago|IL
60|VipulMascarenhas|28216.5|28|Seattle|WA
61|aidansunbury|28212|22|San Francisco|CA
62|benceruleanlu|27851.5|15|San Francisco|CA
63|assafvayner|27723|16|Seattle|WA
64|alpayariyak|26701|15|San Francisco|CA
65|NTaylorMullen|26609|10|Seattle|WA
66|changhiskhan|26568|30|San Francisco|CA
67|Satrat|26026|6|Boston|MA
68|ckadner|25846|14|Santa Cruz|CA
69|SethEden|25107|43|Madison|WI
70|ckhordiasma|24944|10|Boston|MA
71|arudell|23916|53||Minnesota
72|cmndcntrlcyber|23891|44||
73|anuragkumar95|23872|14|Columbus|OH
74|adeebshihadeh|23696|56|San Diego|CA
75|cebtenzzre|23516|19|New York City|NY
76|afourney|23495.5|23|Redmond|WA
77|bsbodden|23312.5|27|Scottsdale|AZ
78|RustedBones|23162|33|Chicago|IL
79|CodingOnStar|22764|7|El Campo|TX
80|bdekoz|22701|20|San Francisco|CA
81|Jialin|22570|8|San Jose|CA
82|boarder7395|22302.5|4|Boston|MA
83|AdamBelfki3|22035|22|Boston|MA
84|abhimehro|21812.5|9|Baton Rouge|LA
85|QIN2DIM|21764|30|Laramie|WY
86|awni|21708|22||
87|abhipatel12|21660|10|New York City|NY
88|alexm-redhat|21085|14|Boston|MA
89|coveralls|20724|63|Los Angeles|CA
90|caseyclements|20685|22||New York
91|Tianhao-Gu|20265|9|Chicago|IL
92|Yukiyukiyeah|19684|12|Seattle|WA
93|CShorten|19459|53|Boston|MA
94|GindaChen|19077.5|24|San Diego|CA
95|cadentj|18913.5|24|Boston|MA
96|ZachNagengast|18884.5|34|Los Angeles|CA
97|alterxyz|18837|20|San Jose|CA
98|Pierrci|18629|59|Miami|FL
99|ADBeveridge|18565|43|San Diego|CA
100|ctrlaltdev|18496|29|Los Angeles|CA
101|ShekharGupta1988|18413|34|Redmond|WA
102|JonahMMay|18092.5|16|Dallas|TX
103|amrmahdi|18045|6|San Jose|CA
104|LangCh1123|17370|1||
105|boren-ms|17032|13|Redmond|WA
106|WASasquatch|17028.5|42|Mount Vernon|WA
107|SandyTao520|17004|10|Seattle|WA
108|cindylovescoding|16708|19|Seattle|WA
109|andreasmcdermott|16138.5|13|Seattle|WA
110|KellerJordan|16051|15|San Francisco|CA
111|cascade812|15931|13|Redmond|WA
