1|Ilikectrlmusic|4797581|21||||
2|skotrla|1778310|45||||
3|DarkLight1337|1650087|24|Hong Kong||HK|HK
4|crazywoola|1355798|33|Macau|02|MO|MO
5|HuggingFaceDocBuilderDev|1294456|50||||
6|sre-ci-robot|1100693|62||||
7|patrickvonplaten|931914.5|60||||
8|tamnd|922619|8||||
9|zhyncs|849163.5|32||||
10|jacoblee93|822378|37||||
11|ogabrielluiz|801577.5|45||||
12|sayakpaul|782359|53||||
13|sgugger|778481|34||||
14|youkaichao|695443|26||||
15|mgoin|680450|40||||
16|eyurtsev|668766|42||||
17|baskaryan|663984.5|37||||
18|merrymercy|658594.5|42||||
19|vkameswaran|637723|24||||
20|ArthurZucker|635026|49|||France|FR
21|WoosukKwon|629696|37|San Francisco|CA|United States|US
22|danielhanchen|622455.5|29||||
23|EarthmanT|619860.5|44||||
24|hwchase17|598789|41||||
25|ydshieh|593790|60||||
26|AndreasKaratzas|581759|18|Austin|TX|United States|US
27|tehasdf|580310.5|50||||
28|hinthornw|550585.5|39||||
29|qooban|540512|38||||
30|simon-mo|516394|32||||
31|direwolf-github|516136|59||||
32|wangxiyuan|497135|21||||
33|bracesproul|494607.5|34||||
34|everettbu|492001|8||||
35|mkarmark|487775|32||||
36|nfcampos|486917.5|41||||
37|lhoestq|485702|63||||
38|ElementalWhisper71|463555|1||||
39|Narsil|456773|60||||
40|zippydoc-machine-user|451700|3||||
41|aarnphm|442549.5|62|Toronto|08|Canada|CA
42|Jokeren|438177|26|Fairfax|VA|United States|US
43|LysandreJik|436546|63|Paris|11|France|FR
44|fzyzcjy|426235|35||||
45|younesbelkada|424995|43||||
46|ccurme|418726|29||||
47|Wauplin|415078|45||||
48|njhill|412192|39||||
49|efriis|408995.5|21||||
50|ShadowWhisperer|396932|63||||
51|ishaan-jaff|388854.5|35||||
52|Isotr0py|388547|36|Guangzhou|30|China|CN
53|kubama|386249.5|33||||
54|tjbck|379139.5|33||||
55|hmellor|372308|27||||
56|ywang96|371233|28||||
57|amyeroberts|369736|32|London|ENG|United Kingdom|GB
58|RiseInRose|369063|36||||
59|robertgshaw2-neuralmagic|361994|13||||
60|vbarda|353420.5|19||||
61|NielsRogge|351176.5|63|||Belgium|BE
62|albertvillanova|349426.5|63|Paris|11|France|FR
63|ThomasRaoux|348030|23||||
64|kylesayrs|343956.5|22||||
65|mateumann|341491.5|44||||
66|JustANothing|336540|1|||Indonesia|ID
67|geokala|336021|26||||
68|takatost|334301.5|25||||
69|ggerganov|332243|43||||
70|krrishdholakia|330922.5|45||||
71|regisss|330512|50||||
72|muellerzr|328020.5|50||||
73|dsikka|327900|26||||
74|Cristhianzl|313202|35|Uberlândia|15|Brazil|BR
75|tianhua2|307727|7||||
76|tlrmchlsmth|298714|26||||
77|winglian|298289|36||||
78|echarlaix|297530|60||||
79|laipz8200|293373|29||||
80|antiagainst|291886|24|Seattle|WA|United States|US
81|Yeuoly|290571|31||||
82|stevhliu|288637|59||||
83|jeejeelee|288557|28||||
84|gyllone|285692|1||||
85|antas-marcin|285273.5|63|Wrocław|72|Poland|PL
86|pcuenca|284363.5|50||||
87|HuggingFaceDocBuilder|281208|22||||
88|qgallouedec|280864|37||||
89|hileamlakB|277460.5|6||||
90|punkpeye|275226.5|18||||
91|DEQygrund|270880|28|Portland|OR|United States|US
92|langchain4j|269240|21||||
93|lewtun|269199.5|63||||
94|gante|268186|48||||
95|BillGarman|263322|1|Seattle|WA|United States|US
96|Rocketknight1|261446|60|Dublin|L|Ireland|IE
97|iamjoel|261385|35||||
98|wsxiaoys|259067.5|40||||
99|hiddify-com|258261.5|29||||
100|jlowin|258192|19||||
101|yiyixuxu|257565|44||||
102|mldangelo|255873|27||||
103|congqixia|252124|59||||
104|osanseviero|251337.5|56||||
105|robertgshaw2-redhat|248520|15||||
106|mishig25|248437|58||||
107|generall|248214.5|63||||
108|DNCDRaka|247112|1||||
109|duihuhu|246742|27||||
110|julien-c|246473.5|63||||
111|Rafa49451|243950|8||||
112|hnyls2002|241519.5|29||||
113|jmorganca|241155|34||||
114|LucasWilkinson|239021|25||||
115|glukhman|238532|39||||
116|severo|237846|56||||
117|BenjaminBossan|235407|45|Berlin|16|Germany|DE
118|comaniac|229311|30|San Francisco|CA|United States|US
119|SunMarc|228351|35||||
120|jvllmr|227270.5|48||||
121|LaurentMazare|226038|33|Paris|11|France|FR
122|mdrxy|225460|12||||
123|vllm-bot|223890|14||||
124|regro-cf-autotick-bot|222231|63||||
125|hiyouga|220318.5|40||||
126|DouweM|219067.5|12|Mexico City|09|Mexico|MX
127|peterbell10|218255|22||||
128|michalkuligowski|217590|19||||
129|Fridge003|212663.5|29|San Jose|CA|United States|US
130|anovazzi1|212363.5|25||||
131|sglang-bot|212200|7||||
132|dtrifiro|210968|25||||
133|edwinjosechittilappilly|210904.5|25||||
134|ProExpertProg|210370|25|Cambridge|MA|United States|US
135|magnologan|210066|60||||
136|enyst|207891.5|23||||
137|dirkkul|205433|44||||
138|timvisee|203552|37||||
139|SHARANR26|203161|1||||
140|zhuohan123|202605|32||||
141|huchenlei|201078.5|31||||
142|Yikun|200002|28|Xi’an|26|China|CN
143|averikitsch|199211|28|Seattle|WA|United States|US
144|dqbd|197882|39||||
145|comfy-pr-bot|195900.5|21||||
146|zhaochenyang20|194692.5|31||||
147|lwsinclair|194102|12||||
148|zucchini-nlp|193812|29||||
149|mickqian|192246|15||||
150|joerunde|191830|25||||
151|lucaseduoli|190260|36||||
152|Gelio|189395.5|8|||Poland|PL
153|lezcano|188900|22||||
154|bowenliang123|188485.5|30|Guangzhou|30|China|CN
155|IlyasMoutawwakil|187444|48|Paris|11|France|FR
156|MengqingCao|185274|27||||
157|xingyaoww|184299.5|40||||
158|lamia-haider|180144.5|11||||
159|Jeffwan|179608|33|Seattle|WA|United States|US
160|cosmo-admin|178846.5|38||||
161|BBuf|178534|40|Chengdu|32|China|CN
162|heesookiim|178142.5|3||||
163|zxhlyh|177903|35||||
164|fxmarty|177565|30||||
165|anakin87|176373|50|||Italy|IT
166|brian-dellabetta|175804|16|Chicago|IL|United States|US
167|sydney-runkle|174804|18||||
168|tf-vcs-testing-staging|174165|20||||
169|geoand|172683.5|30||||
170|3whisper51nomad|172320|2||||
171|tf-vcs-testing|171900|21||||
172|JohnJyong|170823.5|35|Suzhou|04|China|CN
173|xuechendi|170180|24||||
174|agourlay|169231|52|Berlin|16|Germany|DE
175|gshtras|169155|26||||
176|WitherRbx|168770|6||||
177|noooop|168030|24||||
178|Omochice|167521|63|||Japan|JP
179|mendonk|166310|23||||
180|martin-nhs|165160|15||||
181|slin1237|164276|22||||
182|Mogball|163405|17||||
183|stas00|163136|61||||
184|maaksystemsllc|162669|3||||
185|patil-suraj|161121|44||||
186|tjtanaa|157928.5|30||||
187|kashif|157422|54||||
188|opencm|156835|42||||
189|russellb|156783|20||||
190|danieldk|156403|50||||
191|ltdrdata|155991|37||||
192|varun-sundar-rabindranath|154695|26||||
193|christian-byrne|154442.5|24|San Francisco|CA|United States|US
194|michaeldrennen|154205|58||||
195|kzawora-intel|153390|26||||
196|tensorrt-cicd|152757|13||||
197|jikunshang|151746|31||||
198|khluu|151395|23||||
199|merveenoyan|151373|56||||
200|cbornet|150035.5|31|Bordeaux|75|France|FR
201|dirkbrnd|149087.5|15||||
202|Kludex|148759.5|17|Utrecht|09|Netherlands|NL
203|NickLucche|148282|36||||
204|Vorbert-Kruk|145852|35||||
205|wjones127|145481|35||||
206|rkooo567|144795|16||||
207|leon-good-life|144210.5|25||||
