metro,alltime_unique_users,alltime_avg_score,users_2024_avg,users_2025plus_avg,users_delta,users_growth_pct,score_2024_avg,score_2025plus_avg,score_delta,adoption_trend,months_2025plus,first_period,last_period
"Honolulu, Hawaii",48,12.42,1.50,3.47,1.97,131.1,3.13,18.74,15.61,growing,15,2021-03-01,2026-03-01
"Lexington, Kentucky Area",29,36.72,1.44,3.00,1.56,107.7,11.84,32.03,20.19,growing,14,2022-08-01,2026-03-01
"Knoxville, Tennessee Area",64,28.68,2.42,4.73,2.32,95.9,13.51,28.13,14.62,growing,15,2021-06-01,2026-03-01
"Charleston, South Carolina Area",55,17.03,1.60,3.13,1.53,95.8,8.83,14.87,6.04,growing,15,2021-06-01,2026-03-01
"Cleveland, Ohio Area",152,50.67,6.33,12.27,5.93,93.7,42.53,48.62,6.09,growing,15,2021-01-01,2026-03-01
"El Paso, Texas Area",21,7.27,1.00,1.89,0.89,88.9,3.00,8.28,5.28,growing,9,2021-12-01,2026-02-01
"Greenville, South Carolina Area",49,37.89,2.42,4.53,2.12,87.6,18.76,39.72,20.95,growing,15,2021-01-01,2026-03-01
"Reno, Nevada Area",36,17.17,1.80,3.36,1.56,86.5,5.44,23.90,18.46,growing,14,2021-12-01,2026-03-01
"Dayton, Ohio Area",42,21.98,1.67,3.08,1.41,84.6,18.95,18.36,-0.59,growing,13,2021-01-01,2026-03-01
Kansas City Area,162,38.23,7.33,13.47,6.13,83.6,16.33,58.69,42.36,growing,15,2021-01-01,2026-03-01
"Jacksonville, Florida Area",68,52.32,3.36,6.13,2.77,82.3,42.56,75.51,32.95,growing,15,2021-01-01,2026-03-01
"Birmingham, Alabama Area",52,19.63,2.67,4.80,2.13,80.0,8.11,26.05,17.94,growing,15,2021-08-01,2026-03-01
"Colorado Springs, Colorado Area",51,19.57,1.91,3.43,1.52,79.6,3.13,26.23,23.10,growing,14,2022-04-01,2026-02-01
"Syracuse, New York Area",49,38.29,1.89,3.21,1.33,70.2,9.51,20.75,11.24,growing,14,2021-04-01,2026-02-01
