rank,metro_area,metro_type,ai_literate_users,avg_score_per_user,centroid_lat,centroid_lon
1,"San Francisco-Oakland-Fremont, CA",Metropolitan,5154,365.82,37.7741,-122.2741
2,"New York-Newark-Jersey City, NY-NJ",Metropolitan,3287,111.84,40.7364,-73.8036
3,"Seattle-Tacoma-Bellevue, WA",Metropolitan,2598,198.83,47.5575,-121.8814
4,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan,2420,106.98,34.1118,-118.1808
5,"Boston-Cambridge-Newton, MA-NH",Metropolitan,1909,103.34,42.5179,-71.0219
6,"San Jose-Sunnyvale-Santa Clara, CA",Metropolitan,1709,293.11,36.9103,-121.3769
7,"Chicago-Naperville-Elgin, IL-IN",Metropolitan,1414,206.83,41.7596,-87.8449
8,"Austin-Round Rock-San Marcos, TX",Metropolitan,1221,276.78,30.2622,-97.6544
9,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan,1019,302.9,33.7338,-84.3922
10,"Dallas-Fort Worth-Arlington, TX",Metropolitan,936,189.68,32.8495,-96.9704
11,"San Diego-Chula Vista-Carlsbad, CA",Metropolitan,828,61.84,33.0282,-116.7702
12,"Denver-Aurora-Centennial, CO",Metropolitan,828,166.29,39.4337,-104.8944
13,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan,817,130.34,38.8324,-77.498
14,"Houston-Pasadena-The Woodlands, TX",Metropolitan,616,87.4,29.8021,-95.3423
15,"Pittsburgh, PA",Metropolitan,588,58.2,40.4744,-79.8632
16,"Miami-Fort Lauderdale-West Palm Beach, FL",Metropolitan,559,212.08,26.1353,-80.4686
17,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Metropolitan,557,294.87,39.8958,-75.3117
18,"Portland-Vancouver-Hillsboro, OR-WA",Metropolitan,542,176.31,45.5984,-122.4783
19,"Riverside-San Bernardino-Ontario, CA",Metropolitan,407,95.53,34.5517,-116.1297
20,"Phoenix-Mesa-Chandler, AZ",Metropolitan,386,124.9,33.1859,-112.0707
21,"Raleigh-Cary, NC",Metropolitan,346,129.5,35.7573,-78.4608
22,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan,341,146.63,45.1034,-93.2753
23,"Orlando-Kissimmee-Sanford, FL",Metropolitan,301,125.83,28.4343,-81.3631
24,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan,266,64.43,35.1686,-80.7954
25,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan,265,73.79,28.1234,-82.5285
26,"Salt Lake City-Murray, UT",Metropolitan,260,28.69,40.4706,-113.0105
27,"Baltimore-Columbia-Towson, MD",Metropolitan,259,40.03,39.3055,-76.551
28,"Columbus, OH",Metropolitan,255,123.09,39.9681,-82.8369
29,"Ann Arbor, MI",Metropolitan,238,62.25,42.2532,-83.8388
30,"St. Louis, MO-IL",Metropolitan,232,181.49,38.7352,-90.3501
31,"Detroit-Warren-Dearborn, MI",Metropolitan,230,256.6,42.7162,-83.2058
32,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan,217,42.9,36.0891,-86.7244
33,"Boulder, CO",Metropolitan,213,995.7,40.0925,-105.3577
34,"Sacramento-Roseville-Folsom, CA",Metropolitan,205,130.36,38.7805,-120.9972
35,"Durham-Chapel Hill, NC",Metropolitan,197,131.65,35.9911,-79.0996
36,"Las Vegas-Henderson-North Las Vegas, NV",Metropolitan,187,43.08,36.2152,-115.0136
37,"Madison, WI",Metropolitan,177,90.3,43.0802,-89.5922
38,"Champaign-Urbana, IL",Metropolitan,177,191.07,40.2267,-88.2945
39,"Kansas City, MO-KS",Metropolitan,166,196.95,38.9371,-94.4444
40,"Indianapolis-Carmel-Greenwood, IN",Metropolitan,162,51.54,39.7929,-86.1216
41,"Cincinnati, OH-KY-IN",Metropolitan,162,46.09,39.0811,-84.4646
42,"Oklahoma City, OK",Metropolitan,158,57.88,35.4299,-97.5039
43,"Rochester, NY",Metropolitan,148,34.8,43.1885,-77.5539
44,"San Antonio-New Braunfels, TX",Metropolitan,143,144.87,29.4288,-98.6023
45,"Cleveland, OH",Metropolitan,139,75.19,41.6704,-81.4294
46,"Lafayette-West Lafayette, IN",Metropolitan,125,49.95,40.4772,-87.0234
47,"Richmond, VA",Metropolitan,109,74.7,37.4125,-77.4462
48,"Tulsa, OK",Metropolitan,106,57.06,36.2504,-96.1662
49,"Buffalo-Cheektowaga, NY",Metropolitan,104,25.4,43.0379,-78.7754
50,"Milwaukee-Waukesha, WI",Metropolitan,101,30.33,43.1804,-87.797
51,"Providence-Warwick, RI-MA",Metropolitan,98,23.72,41.6449,-71.3897
52,"Provo-Orem-Lehi, UT",Metropolitan,91,123.96,39.8645,-112.3526
53,"Ithaca, NY",Metropolitan,90,289.6,42.452,-76.4737
54,"Tucson, AZ",Metropolitan,86,46.6,32.0974,-111.7899
55,"Grand Rapids-Wyoming-Kentwood, MI",Metropolitan,85,85.62,42.9784,-85.7142
56,"Jacksonville, FL",Metropolitan,83,50.06,30.2341,-81.7575
57,"Boise City, ID",Metropolitan,83,36.1,43.016,-116.1432
58,"Santa Maria-Santa Barbara, CA",Metropolitan,82,109.8,34.5383,-120.031
59,"Trenton-Princeton, NJ",Metropolitan,82,43.43,40.2834,-74.7018
60,"Knoxville, TN",Metropolitan,80,28.35,36.0447,-84.1375
61,"New Haven, CT",Metropolitan,76,39.73,41.2945,-72.8337
62,"Louisville/Jefferson County, KY-IN",Metropolitan,76,74.92,38.2244,-85.7025
63,"Virginia Beach-Chesapeake-Norfolk, VA-NC",Metropolitan,75,87.46,36.8403,-76.396
64,"Greenville-Anderson-Greer, SC",Metropolitan,72,65.74,34.6851,-82.4139
65,"Albany-Schenectady-Troy, NY",Metropolitan,71,132.03,42.7885,-73.942
66,"Albuquerque, NM",Metropolitan,70,213.2,35.1223,-106.4716
67,"Gainesville, FL",Metropolitan,70,152.7,29.4562,-82.6693
68,"College Station-Bryan, TX",Metropolitan,68,36.0,30.7565,-96.489
69,"Blacksburg-Christiansburg-Radford, VA",Metropolitan,66,37.3,37.1209,-80.5329
70,"Palestine, TX",Micropolitan,63,62.3,31.8133,-95.6525
71,"Memphis, TN-MS-AR",Metropolitan,63,27.4,35.0074,-89.8147
72,"Hagerstown-Martinsburg, MD-WV",Metropolitan,63,95.85,39.5499,-77.9814
73,"New Orleans-Metairie, LA",Metropolitan,61,186.1,29.7118,-89.6674
74,"Charleston-North Charleston, SC",Metropolitan,59,110.48,33.0166,-80.0086
